,water_price_eur_m3,water_price_alternative_eur_m3,water_price_eur_l,water_price_alternative_eur_l,Vavail_m3,Vavail_l
2022-01-01 00:00:00+00:00,0.0290538951,9.192,2.90538951e-05,0.009192,1.4750402576489532,1475.0402576489532
2022-01-01 01:00:00+00:00,0.0290538951,9.1096,2.90538951e-05,0.0091096,1.4750402576489532,1475.0402576489532
2022-01-01 02:00:00+00:00,0.0290538951,7.824,2.90538951e-05,0.007824,1.4750402576489532,1475.0402576489532
2022-01-01 03:00:00+00:00,0.0290538951,7.824,2.90538951e-05,0.007824,1.4750402576489532,1475.0402576489532
2022-01-01 04:00:00+00:00,0.0290538951,7.659199999999999,2.90538951e-05,0.0076592,1.4750402576489532,1475.0402576489532
2022-01-01 05:00:00+00:00,0.0290538951,7.824,2.90538951e-05,0.007824,1.4750402576489532,1475.0402576489532
2022-01-01 06:00:00+00:00,0.0290538951,7.824,2.90538951e-05,0.007824,1.4750402576489532,1475.0402576489532
2022-01-01 07:00:00+00:00,0.0290538951,7.824,2.90538951e-05,0.007824,1.4750402576489532,1475.0402576489532
2022-01-01 08:00:00+00:00,0.0290538951,5.604,2.90538951e-05,0.0056040000000000005,1.4750402576489532,1475.0402576489532
2022-01-01 09:00:00+00:00,0.0290538951,6.143200000000001,2.90538951e-05,0.0061432000000000014,1.4750402576489532,1475.0402576489532
2022-01-01 10:00:00+00:00,0.0290538951,6.728,2.90538951e-05,0.006728,1.4750402576489532,1475.0402576489532
2022-01-01 11:00:00+00:00,0.0290538951,7.579199999999999,2.90538951e-05,0.0075791999999999995,1.4750402576489532,1475.0402576489532
2022-01-01 12:00:00+00:00,0.0290538951,7.744,2.90538951e-05,0.007744,1.4750402576489532,1475.0402576489532
2022-01-01 13:00:00+00:00,0.0290538951,7.824,2.90538951e-05,0.007824,1.4750402576489532,1475.0402576489532
2022-01-01 14:00:00+00:00,0.0290538951,7.8816,2.90538951e-05,0.007881599999999999,1.4750402576489532,1475.0402576489532
2022-01-01 15:00:00+00:00,0.0290538951,9.16,2.90538951e-05,0.00916,1.4750402576489532,1475.0402576489532
2022-01-01 16:00:00+00:00,0.0290538951,11.997599999999998,2.90538951e-05,0.011997599999999999,1.4750402576489532,1475.0402576489532
2022-01-01 17:00:00+00:00,0.0290538951,14.177600000000002,2.90538951e-05,0.014177600000000002,1.4750402576489532,1475.0402576489532
2022-01-01 18:00:00+00:00,0.0290538951,15.001600000000002,2.90538951e-05,0.015001600000000002,1.4750402576489532,1475.0402576489532
2022-01-01 19:00:00+00:00,0.0290538951,15.140799999999999,2.90538951e-05,0.0151408,1.4750402576489532,1475.0402576489532
2022-01-01 20:00:00+00:00,0.0290538951,15.264800000000001,2.90538951e-05,0.0152648,1.4750402576489532,1475.0402576489532
2022-01-01 21:00:00+00:00,0.0290538951,15.071200000000001,2.90538951e-05,0.015071200000000002,1.4750402576489532,1475.0402576489532
2022-01-01 22:00:00+00:00,0.0290538951,13.380799999999999,2.90538951e-05,0.013380799999999998,1.4750402576489532,1475.0402576489532
2022-01-01 23:00:00+00:00,0.0290538951,10.656800000000002,2.90538951e-05,0.010656800000000003,1.4750402576489532,1475.0402576489532
2022-01-02 00:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 01:00:00+00:00,0.0290538951,8.8416,2.90538951e-05,0.0088416,1.4750402576489532,1475.0402576489532
2022-01-02 02:00:00+00:00,0.0290538951,9.040000000000001,2.90538951e-05,0.009040000000000001,1.4750402576489532,1475.0402576489532
2022-01-02 03:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 04:00:00+00:00,0.0290538951,8.8416,2.90538951e-05,0.0088416,1.4750402576489532,1475.0402576489532
2022-01-02 05:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 06:00:00+00:00,0.0290538951,10.367999999999999,2.90538951e-05,0.010367999999999999,1.4750402576489532,1475.0402576489532
2022-01-02 07:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 08:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 09:00:00+00:00,0.0290538951,9.040000000000001,2.90538951e-05,0.009040000000000001,1.4750402576489532,1475.0402576489532
2022-01-02 10:00:00+00:00,0.0290538951,8.296,2.90538951e-05,0.008296,1.4750402576489532,1475.0402576489532
2022-01-02 11:00:00+00:00,0.0290538951,8.296,2.90538951e-05,0.008296,1.4750402576489532,1475.0402576489532
2022-01-02 12:00:00+00:00,0.0290538951,8.8416,2.90538951e-05,0.0088416,1.4750402576489532,1475.0402576489532
2022-01-02 13:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 14:00:00+00:00,0.0290538951,8.76,2.90538951e-05,0.00876,1.4750402576489532,1475.0402576489532
2022-01-02 15:00:00+00:00,0.0290538951,9.2696,2.90538951e-05,0.009269600000000001,1.4750402576489532,1475.0402576489532
2022-01-02 16:00:00+00:00,0.0290538951,12.783199999999999,2.90538951e-05,0.0127832,1.4750402576489532,1475.0402576489532
2022-01-02 17:00:00+00:00,0.0290538951,15.540000000000001,2.90538951e-05,0.015540000000000002,1.4750402576489532,1475.0402576489532
2022-01-02 18:00:00+00:00,0.0290538951,15.84,2.90538951e-05,0.01584,1.4750402576489532,1475.0402576489532
2022-01-02 19:00:00+00:00,0.0290538951,16.6704,2.90538951e-05,0.016670400000000002,1.4750402576489532,1475.0402576489532
2022-01-02 20:00:00+00:00,0.0290538951,16.728,2.90538951e-05,0.016728,1.4750402576489532,1475.0402576489532
2022-01-02 21:00:00+00:00,0.0290538951,15.308800000000002,2.90538951e-05,0.015308800000000001,1.4750402576489532,1475.0402576489532
2022-01-02 22:00:00+00:00,0.0290538951,14.239999999999998,2.90538951e-05,0.01424,1.4750402576489532,1475.0402576489532
2022-01-02 23:00:00+00:00,0.0290538951,14.52,2.90538951e-05,0.01452,1.4750402576489532,1475.0402576489532
2022-01-03 00:00:00+00:00,0.0290538951,12.8576,2.90538951e-05,0.0128576,1.4750402576489532,1475.0402576489532
2022-01-03 01:00:00+00:00,0.0290538951,12.3712,2.90538951e-05,0.0123712,1.4750402576489532,1475.0402576489532
2022-01-03 02:00:00+00:00,0.0290538951,11.988800000000001,2.90538951e-05,0.0119888,1.4750402576489532,1475.0402576489532
2022-01-03 03:00:00+00:00,0.0290538951,11.5592,2.90538951e-05,0.0115592,1.4750402576489532,1475.0402576489532
2022-01-03 04:00:00+00:00,0.0290538951,11.908800000000001,2.90538951e-05,0.0119088,1.4750402576489532,1475.0402576489532
2022-01-03 05:00:00+00:00,0.0290538951,12.3016,2.90538951e-05,0.012301600000000001,1.4750402576489532,1475.0402576489532
2022-01-03 06:00:00+00:00,0.0290538951,12.8576,2.90538951e-05,0.0128576,1.4750402576489532,1475.0402576489532
2022-01-03 07:00:00+00:00,0.0290538951,15.140799999999999,2.90538951e-05,0.0151408,1.4750402576489532,1475.0402576489532
2022-01-03 08:00:00+00:00,0.0290538951,14.683200000000001,2.90538951e-05,0.0146832,1.4750402576489532,1475.0402576489532
2022-01-03 09:00:00+00:00,0.0290538951,12.8576,2.90538951e-05,0.0128576,1.4750402576489532,1475.0402576489532
2022-01-03 10:00:00+00:00,0.0290538951,12.176,2.90538951e-05,0.012176,1.4750402576489532,1475.0402576489532
2022-01-03 11:00:00+00:00,0.0290538951,11.908800000000001,2.90538951e-05,0.0119088,1.4750402576489532,1475.0402576489532
2022-01-03 12:00:00+00:00,0.0290538951,11.363199999999999,2.90538951e-05,0.011363199999999999,1.4750402576489532,1475.0402576489532
2022-01-03 13:00:00+00:00,0.0290538951,10.1904,2.90538951e-05,0.0101904,1.4750402576489532,1475.0402576489532
2022-01-03 14:00:00+00:00,0.0290538951,9.0296,2.90538951e-05,0.0090296,1.4750402576489532,1475.0402576489532
2022-01-03 15:00:00+00:00,0.0290538951,10.144,2.90538951e-05,0.010144,1.4750402576489532,1475.0402576489532
