,water_price_eur_m3,water_price_alternative_eur_m3,water_price_eur_l,water_price_alternative_eur_l,Vavail_m3,Vavail_l
2022-01-01 00:00:00+00:00,0.06047057835,9.192,6.047057835e-05,0.009192,0.0,0.0
2022-01-01 01:00:00+00:00,0.06047057835,9.1096,6.047057835e-05,0.0091096,0.0,0.0
2022-01-01 02:00:00+00:00,0.06047057835,7.824,6.047057835e-05,0.007824,0.0,0.0
2022-01-01 03:00:00+00:00,0.06047057835,7.824,6.047057835e-05,0.007824,0.0,0.0
2022-01-01 04:00:00+00:00,0.06047057835,7.659199999999999,6.047057835e-05,0.0076592,0.0,0.0
2022-01-01 05:00:00+00:00,0.06047057835,7.824,6.047057835e-05,0.007824,0.0,0.0
2022-01-01 06:00:00+00:00,0.06047057835,7.824,6.047057835e-05,0.007824,0.0,0.0
2022-01-01 07:00:00+00:00,0.06047057835,7.824,6.047057835e-05,0.007824,0.0,0.0
2022-01-01 08:00:00+00:00,0.06047057835,5.604,6.047057835e-05,0.0056040000000000005,1.2,1200.0
2022-01-01 09:00:00+00:00,0.06047057835,6.143200000000001,6.047057835e-05,0.0061432000000000014,1.2,1200.0
2022-01-01 10:00:00+00:00,0.06047057835,6.728,6.047057835e-05,0.006728,1.2,1200.0
2022-01-01 11:00:00+00:00,0.06047057835,7.579199999999999,6.047057835e-05,0.0075791999999999995,1.2,1200.0
2022-01-01 12:00:00+00:00,0.06047057835,7.744,6.047057835e-05,0.007744,1.2,1200.0
2022-01-01 13:00:00+00:00,0.06047057835,7.824,6.047057835e-05,0.007824,1.2,1200.0
2022-01-01 14:00:00+00:00,0.06047057835,7.8816,6.047057835e-05,0.007881599999999999,1.2,1200.0
2022-01-01 15:00:00+00:00,0.06047057835,9.16,6.047057835e-05,0.00916,1.2,1200.0
2022-01-01 16:00:00+00:00,0.06047057835,11.997599999999998,6.047057835e-05,0.011997599999999999,1.2,1200.0
2022-01-01 17:00:00+00:00,0.06047057835,14.177600000000002,6.047057835e-05,0.014177600000000002,1.2,1200.0
2022-01-01 18:00:00+00:00,0.06047057835,15.001600000000002,6.047057835e-05,0.015001600000000002,1.2,1200.0
2022-01-01 19:00:00+00:00,0.06047057835,15.140799999999999,6.047057835e-05,0.0151408,1.2,1200.0
2022-01-01 20:00:00+00:00,0.06047057835,15.264800000000001,6.047057835e-05,0.0152648,1.2,1200.0
2022-01-01 21:00:00+00:00,0.06047057835,15.071200000000001,6.047057835e-05,0.015071200000000002,1.2,1200.0
2022-01-01 22:00:00+00:00,0.06047057835,13.380799999999999,6.047057835e-05,0.013380799999999998,1.2,1200.0
2022-01-01 23:00:00+00:00,0.06047057835,10.656800000000002,6.047057835e-05,0.010656800000000003,1.2,1200.0
2022-01-02 00:00:00+00:00,0.06047057835,9.2696,6.047057835e-05,0.009269600000000001,0.0,0.0
2022-01-02 01:00:00+00:00,0.06047057835,8.8416,6.047057835e-05,0.0088416,0.0,0.0
