,water_price_morocco_eur_m3,water_price_morocco_alternative_eur_m3,water_price_egypt_eur_m3,water_price_egypt_alternative_eur_m3,Vavail_m3,deltaV_m3_h,Vavail_l,deltaV_l_h
2022-01-01 00:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.951323165551067,-1.0486768344489321,18951.323165551068,-1048.6768344489321
2022-01-01 01:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.051194431925587,-0.9488055680744143,19051.19443192559,-948.8055680744143
2022-01-01 02:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.956947371838652,-1.0430526281613481,18956.94737183865,-1043.0526281613481
2022-01-01 03:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.065861259019133,-0.934138740980867,19065.861259019133,-934.138740980867
2022-01-01 04:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.94796058002074,-1.052039419979259,18947.96058002074,-1052.039419979259
2022-01-01 05:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.050599514735413,-0.949400485264585,19050.599514735415,-949.400485264585
2022-01-01 06:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.93124133497003,-1.0687586650299725,18931.24133497003,-1068.7586650299725
2022-01-01 07:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.971048814251052,-1.028951185748947,18971.04881425105,-1028.951185748947
2022-01-01 08:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.041096076648586,-0.9589039233514147,19041.096076648584,-958.9039233514147
2022-01-01 09:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.032393141229363,-0.9676068587706351,19032.393141229364,-967.6068587706351
2022-01-01 10:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.931412743660065,-1.0685872563399337,18931.412743660065,-1068.5872563399337
2022-01-01 11:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.99754032041541,-1.0024596795845908,18997.54032041541,-1002.4596795845908
2022-01-01 12:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.0951208017263,-0.9048791982736996,19095.120801726298,-904.8791982736996
2022-01-01 13:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.957003726398085,-1.0429962736019136,18957.003726398085,-1042.9962736019136
2022-01-01 14:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.946040574379733,-1.0539594256202662,18946.040574379735,-1053.9594256202663
2022-01-01 15:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.964763627932022,-1.035236372067978,18964.76362793202,-1035.236372067978
2022-01-01 16:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.02409266576392,-0.975907334236081,19024.09266576392,-975.907334236081
2022-01-01 17:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.96474845554944,-1.035251544450559,18964.74845554944,-1035.251544450559
2022-01-01 18:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.008809560907313,-0.9911904390926867,19008.809560907313,-991.1904390926867
2022-01-01 19:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.024993095078194,-0.9750069049218049,19024.993095078193,-975.0069049218049
2022-01-01 20:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.908469179960086,-1.091530820039915,18908.469179960088,-1091.530820039915
2022-01-01 21:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.092170088253983,-0.9078299117460169,19092.170088253984,-907.8299117460169
2022-01-01 22:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.084033665225974,-0.9159663347740259,19084.033665225972,-915.9663347740259
2022-01-01 23:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.904792968733034,-1.0952070312669668,18904.792968733032,-1095.2070312669669
2022-01-02 00:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.005229807127265,-0.9947701928727358,19005.229807127263,-994.7701928727358
2022-01-02 01:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.90777783711355,-1.092222162886451,18907.77783711355,-1092.222162886451
2022-01-02 02:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.95268046360087,-1.0473195363991303,18952.68046360087,-1047.3195363991304
2022-01-02 03:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.063539773625163,-0.9364602263748385,19063.53977362516,-936.4602263748385
2022-01-02 04:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.99926895045776,-1.000731049542237,18999.26895045776,-1000.731049542237
2022-01-02 05:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.09434033774932,-0.90565966225068,19094.34033774932,-905.65966225068
2022-01-02 06:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.050441687169613,-0.9495583128303879,19050.441687169612,-949.558312830388
2022-01-02 07:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.05045671130445,-0.9495432886955499,19050.45671130445,-949.5432886955499
2022-01-02 08:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.996166457733345,-1.0038335422666536,18996.166457733347,-1003.8335422666536
2022-01-02 09:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.98824228438778,-1.0117577156122202,18988.24228438778,-1011.7577156122202
2022-01-02 10:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.01536455342415,-0.9846354465758502,19015.364553424148,-984.6354465758502
2022-01-02 11:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.980105280791193,-1.0198947192088057,18980.105280791195,-1019.8947192088057
2022-01-02 12:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.02526119875466,-0.974738801245341,19025.26119875466,-974.7388012453409
2022-01-02 13:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.01920990201499,-0.9807900979850097,19019.209902014987,-980.7900979850098
2022-01-02 14:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.9778257568534,-1.0221742431465994,18977.8257568534,-1022.1742431465995
2022-01-02 15:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.07991579737063,-0.9200842026293699,19079.91579737063,-920.0842026293699
2022-01-02 16:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.038705026931346,-0.9612949730686542,19038.705026931348,-961.2949730686541
2022-01-02 17:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.04930780915532,-0.9506921908446795,19049.307809155318,-950.6921908446794
2022-01-02 18:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.01269406166145,-0.9873059383385501,19012.69406166145,-987.30593833855
2022-01-02 19:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.94094405965198,-1.0590559403480198,18940.944059651978,-1059.0559403480197
2022-01-02 20:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.083048085394484,-0.9169519146055173,19083.048085394483,-916.9519146055172
2022-01-02 21:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.939092405523176,-1.0609075944768223,18939.092405523177,-1060.9075944768222
2022-01-02 22:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.96794874793212,-1.032051252067879,18967.948747932118,-1032.051252067879
